TaxonomyNumber;TaxonomyId;small;medium;big
? 0301745;is.netIncome.regular.operatingCOGS.otherCostTC;true;true;true
0301808;is.netIncome.regular.fin.netParticipation.earnings;true;true;true
0301812;is.netIncome.regular.fin.netParticipation.earnings.groupComp;true;true;true
0301819;is.netIncome.regular.fin.netParticipation.earningSecurities;true;true;true
0301825;is.netIncome.regular.fin.netParticipation.earningSecurities.assoc;true;true;true
0301829;is.netIncome.regular.fin.netInterest.income;true;true;true
0301831;is.netIncome.regular.fin.netInterest.income.assoc;true;true;true
0301840;is.netIncome.regular.fin.netParticipation.amortFinanc;true;true;true
0301847;is.netIncome.regular.fin.netInterest.expenses;true;true;true
0301849;is.netIncome.regular.fin.netInterest.expenses.assoc;true;true;true
0301331;is.netIncome.regular;true;true;true
0301868;is.netIncome.extraord.income;true;true;true
0301877;is.netIncome.extraord.expenses;true;true;true
0301867;is.netIncome.extraord;true;true;true
0301886;is.netIncome.tax;true;true;true
0301903;is.netIncome.otherTaxes;true;true;true
0301330;is.netIncome;true;true;true
